,SubID,TrialType,RT,ACC
863,16,incongruent,393,0
864,16,incongruent,442,1
865,16,congruent,509,1
866,16,incongruent,534,1
867,16,congruent,851,1
868,16,congruent,488,1
869,16,incongruent,476,1
870,16,incongruent,469,1
871,16,congruent,398,1
872,16,congruent,457,1
873,16,incongruent,504,1
874,16,incongruent,550,1
875,16,congruent,392,1
876,16,incongruent,449,1
877,16,congruent,500,1
878,16,incongruent,515,1
879,16,congruent,436,1
880,16,incongruent,453,1
881,16,congruent,417,1
882,16,congruent,487,1
883,16,incongruent,467,1
884,16,congruent,617,1
885,16,incongruent,504,1
886,16,congruent,463,1
887,16,incongruent,445,1
888,16,incongruent,497,1
889,16,incongruent,520,1
890,16,congruent,553,1
891,16,congruent,754,1
892,16,incongruent,444,0
893,16,incongruent,472,1
894,16,congruent,425,1
895,16,congruent,431,1
896,16,incongruent,640,1
897,16,congruent,522,1
898,16,congruent,542,1
899,16,incongruent,517,1
900,16,incongruent,886,1
901,16,congruent,955,1
902,16,incongruent,502,1
903,16,congruent,501,1
904,16,incongruent,515,1
905,16,incongruent,509,1
906,16,congruent,462,1
907,16,congruent,444,1
908,16,congruent,408,1
909,16,incongruent,467,1
910,16,congruent,506,1
911,16,incongruent,504,1
912,16,incongruent,519,1
913,16,congruent,496,1
914,16,congruent,607,1
915,16,incongruent,635,1
916,16,incongruent,485,1
917,16,congruent,351,1
918,18,congruent,630,1
919,18,congruent,487,1
920,18,incongruent,515,1
921,18,incongruent,548,1
922,18,congruent,446,1
923,18,incongruent,673,1
924,18,congruent,499,1
925,18,incongruent,506,1
926,18,congruent,424,1
927,18,incongruent,430,1
928,18,congruent,511,1
929,18,incongruent,473,1
930,18,congruent,434,1
931,18,congruent,387,1
932,18,incongruent,489,1
933,18,incongruent,453,1
934,18,incongruent,511,1
935,18,congruent,657,1
936,18,congruent,352,1
937,18,incongruent,561,1
938,18,congruent,394,1
939,18,congruent,387,1
940,18,incongruent,489,1
941,18,incongruent,453,1
942,18,congruent,441,1
943,18,incongruent,476,1
944,18,congruent,901,1
945,18,incongruent,448,1
946,18,congruent,380,1
947,18,incongruent,482,1
948,18,congruent,462,1
949,18,incongruent,452,1
950,18,congruent,408,1
951,18,congruent,539,1
952,18,incongruent,730,1
953,18,incongruent,567,1
954,18,incongruent,483,1
955,18,incongruent,383,1
956,18,congruent,389,1
957,18,congruent,446,1
958,18,congruent,377,1
959,18,incongruent,391,1
960,18,incongruent,400,1
961,18,congruent,377,1
962,18,incongruent,455,1
963,18,incongruent,486,1
964,18,congruent,465,1
965,18,congruent,440,1
966,18,incongruent,403,1
967,18,congruent,455,1
